Abbey,Green,292,701,480,321,423
Abbey,Lab,1235,1645,1130,926,963
Abbey,Con,222,696,328,296,219
Abbey,LDem,266,831,384,192,165
Arbury,Green,245,568,444,195,232
Arbury,Con,282,597,385,226,237
Arbury,Lab,1430,1673,1300,974,1322
Arbury,LDem,368,1165,722,331,417
Arbury,UKIP,,281,,246,
Castle,LDem,388,1288,717,620,275
Castle,Green,191,920,409,,164
Castle,Ind,776,,737,781,925
Castle,Con,129,951,281,109,173
Castle,Lab,562,1084,565,317,330
Castle,UKIP,,,,76,
Cherry hinton,Con,367,843,613,453,385
Cherry hinton,LDem,210,790,383,155,185
Cherry hinton,Lab,1373,1839,1533,1160,1556
Cherry hinton,UKIP,166,393,,,
Cherry hinton,Green,143,364,,214,
Coleridge,Con,344,748,430,347,422
Coleridge,LDem,234,1044,368,148,183
Coleridge,Green,187,558,358,149,228
Coleridge,UKIP,158,259,,272,
Coleridge,Lab,1404,1606,1326,1071,1228
Coleridge,Ind,,,89,,
East Chesterton,Lab,1103,1630,1076,832,1012
East Chesterton,UKIP,202,327,328,221,129
East Chesterton,Con,262,608,260,160,317
East Chesterton,Green,179,466,299,140,241
East Chesterton,LDem,906,1165,1066,1147,438
King's Hedges,UKIP,223,419,,,
King's Hedges,Green,152,355,242,,
King's Hedges,Lab,981,1367,831,716,827
King's Hedges,Con,212,552,266,224,199
King's Hedges,LDem,233,726,393,281,576
King's Hedges,Ind,,87,287,243,105
Market,Con,125,726,500,258,257
Market,LDem,777,1134,678,475,615
Market,Lab,717,1140,903,434,505
Market,Green,401,1147,721,268,349
Newnham,Con,234,700,395,230,263
Newnham,Lab,787,1203,987,661,641
Newnham,LDem,939,1387,1056,797,917
Newnham,Green,216,947,526,158,241
Petersfield,Con,221,422,262,206,209
Petersfield,Green,321,864,688,267,263
Petersfield,LDem,277,795,720,270,322
Petersfield,Lab,1305,1632,1223,943,1036
Queen Edith's,Lab,801,1102,951,931,1084
Queen Edith's,Green,232,546,363,172,172
Queen Edith's,Con,544,1093,522,361,513
Queen Edith's,LDem,1189,1502,1362,1188,963
Queen Edith's,UKIP,,213,,,
Romsey,Lab,1409,1636,1205,741,813
Romsey,Con,139,436,206,103,175
Romsey,Green,273,951,394,138,
Romsey,LDem,1016,1314,1093,1118,1020
Romsey,Soc,,,,118,457
Romsey,UKIP,,,,118,
Trumpington,LDem,1212,1498,1066,763,644
Trumpington,Green,305,751,429,236,287
Trumpington,Lab,755,1182,440,329,321
Trumpington,Con,664,1366,802,735,723
Trumpington,UKIP,,213,,,
West Chesterton,Green,198,537,347,212,325
West Chesterton,UKIP,81,156,,,
West Chesterton,LDem,1157,1618,1294,960,840
West Chesterton,Con,182,528,353,337,372
West Chesterton,Lab,1417,1540,1275,1046,751